Timestamp,Source IP,Destination IP,Protocol
2025-05-22 10:36:13,192.168.188.121,78.177.52.210,17
2025-05-22 10:36:13,78.177.52.210,192.168.188.121,17
2025-05-22 10:36:15,192.168.188.121,40.119.213.159,6
2025-05-22 10:36:15,40.119.213.159,192.168.188.121,6
2025-05-22 10:36:16,192.168.188.121,174.129.83.27,6
2025-05-22 10:36:16,192.168.188.121,174.129.83.27,6
2025-05-22 10:36:16,192.168.188.121,174.129.83.27,6
2025-05-22 10:36:16,192.168.188.121,174.129.83.27,6
2025-05-22 10:36:17,174.129.83.27,192.168.188.121,6
2025-05-22 10:36:17,174.129.83.27,192.168.188.121,6
2025-05-22 10:36:17,174.129.83.27,192.168.188.121,6
2025-05-22 10:36:17,174.129.83.27,192.168.188.121,6
2025-05-22 10:36:18,13.69.116.109,192.168.188.121,6
2025-05-22 10:36:19,51.104.15.253,192.168.188.121,6
2025-05-22 10:36:19,192.168.188.121,172.64.155.209,6
2025-05-22 10:36:19,172.64.155.209,192.168.188.121,6
2025-05-22 10:36:20,192.168.188.121,176.222.3.226,17
2025-05-22 10:36:20,176.222.3.226,192.168.188.121,17
2025-05-22 10:36:21,192.168.188.121,103.163.248.66,17
2025-05-22 10:36:21,192.168.188.121,103.163.248.66,6
2025-05-22 10:36:21,103.163.248.66,192.168.188.121,17
2025-05-22 10:36:21,103.163.248.66,192.168.188.121,6
2025-05-22 10:36:21,192.168.188.121,103.163.248.66,6
2025-05-22 10:36:21,192.168.188.121,103.163.248.66,17
2025-05-22 10:36:21,192.168.188.121,103.163.248.66,6
2025-05-22 10:36:21,103.163.248.66,192.168.188.121,6
2025-05-22 10:36:21,103.163.248.66,192.168.188.121,17
2025-05-22 10:36:22,192.168.188.121,172.253.118.188,6
2025-05-22 10:36:22,172.253.118.188,192.168.188.121,6
2025-05-22 10:36:22,172.253.118.188,192.168.188.121,6
2025-05-22 10:36:22,192.168.188.121,172.253.118.188,6
2025-05-22 10:36:22,192.168.188.121,103.67.201.72,6
2025-05-22 10:36:22,192.168.188.121,104.97.76.219,6
2025-05-22 10:36:22,104.97.76.219,192.168.188.121,6
2025-05-22 10:36:22,103.67.201.72,192.168.188.121,6
2025-05-22 10:36:22,13.107.4.254,192.168.188.121,6
2025-05-22 10:36:22,204.79.197.222,192.168.188.121,6
2025-05-22 10:36:24,40.126.17.131,192.168.188.121,6
